comment 1:  بلاهة => 0
comment 2:  عمتك تسنابيلي => 0
comment 3:  عجبتني رقصة تاع بلال😂 => 1
comment 4:  ديرلنا الجزء3😅😅😅😅😅😅🎉🎉🎉🎉❤❤❤❤❤ تحيا ولاد بلادي => 1
comment 5:  البطوات🤣🤣🤣 => 0
comment 6:  المشروع تاع العربية 😂 => 1
comment 7:  تسخر من جرير والفرزدق وهما والله من خلد التاريخ اسمهما يا نعلا ملت الارجل انتعاله . => 1
comment 8:  فيديو اسطوري خويا ونتا لي خليتو هكاك نستعرف بيك ربي يوفقك😊 => 1
comment 9:  مجسد دور " الفرزدق" إلقاء رائع، ومقطع " الڨصبة" زاد المقطع روعة => 1
comment 10:  ربح فرستق => 0
comment 11:  قوة قوة 😂🔥 => 1
comment 12:  الرخص و عدم التربية => 1
comment 13:  سمحولي خوتي كلي قلت pt3 => 0
comment 14:  الي عليا نقوله الله يرحم الوالدين pt2 => 1
comment 15:  زيدونا جولة 3 => 0
comment 16:  شعر الهجاء أييييه وش دار بالعصر الجاهلي ههههه => 0
